time,srcip,srcport,dstip,dstport,funccode
1424273686951089,3232235876,4718,3232235878,502,3
1424273686951927,3232235876,4718,3232235878,502,3
1424273686952600,3232235876,4719,3232235877,502,3
1424273686953390,3232235876,4719,3232235877,502,3
1424273686954842,3232235876,4720,3232235878,502,2
1424273686955612,3232235876,4720,3232235878,502,2
1424273686956388,3232235876,4721,3232235879,502,3
1424273686957229,3232235876,4721,3232235879,502,3
1424273686958580,3232235876,4722,3232235877,502,2
1424273686959341,3232235876,4722,3232235877,502,2
1424273686961098,3232235876,4723,3232235878,502,1
1424273686961898,3232235876,4723,3232235878,502,1
1424273686963415,3232235876,4724,3232235879,502,2
1424273686964199,3232235876,4724,3232235879,502,2
1424273686966535,3232235876,4725,3232235877,502,1
1424273686967380,3232235876,4725,3232235877,502,1
1424273686970891,3232235876,4726,3232235879,502,1
1424273686971674,3232235876,4726,3232235879,502,1
1424273688910644,3232235875,3747,3232235878,502,5
1424273688911093,3232235875,3747,3232235878,502,5
1424273690045557,3232235876,4727,3232235877,502,5
1424273690046039,3232235876,4727,3232235877,502,5
1424273691906152,3232235875,3748,3232235877,502,3
1424273691906998,3232235875,3748,3232235877,502,3
1424273691921106,3232235875,3749,3232235878,502,3
1424273691921966,3232235875,3749,3232235878,502,3
1424273691935964,3232235875,3750,3232235879,502,3
1424273691936863,3232235875,3750,3232235879,502,3
1424273691969242,3232235875,3751,3232235877,502,2
1424273691970100,3232235875,3751,3232235877,502,2
1424273691984169,3232235875,3752,3232235878,502,2
1424273691985003,3232235875,3752,3232235878,502,2
1424273691987808,3232235875,3753,3232235878,502,1
1424273691988559,3232235875,3753,3232235878,502,1
1424273691999099,3232235875,3754,3232235879,502,2
1424273691999935,3232235875,3754,3232235879,502,2
1424273692031727,3232235875,3755,3232235877,502,1
1424273692032599,3232235875,3755,3232235877,502,1
1424273692061717,3232235875,3756,3232235879,502,1
1424273692062575,3232235875,3756,3232235879,502,1
1424273696952387,3232235876,4728,3232235877,502,3
1424273696953223,3232235876,4728,3232235877,502,3
1424273696953733,3232235876,4729,3232235878,502,3
1424273696954572,3232235876,4729,3232235878,502,3
1424273696955071,3232235876,4730,3232235879,502,3
1424273696955906,3232235876,4730,3232235879,502,3
1424273696957688,3232235876,4731,3232235877,502,2
1424273696958500,3232235876,4731,3232235877,502,2
1424273696960106,3232235876,4732,3232235878,502,2
1424273696960890,3232235876,4732,3232235878,502,2
1424273696962577,3232235876,4733,3232235879,502,2
1424273696963509,3232235876,4733,3232235879,502,2
1424273696965083,3232235876,4734,3232235877,502,1
1424273696965884,3232235876,4734,3232235877,502,1
1424273696967451,3232235876,4735,3232235878,502,1
1424273696968244,3232235876,4735,3232235878,502,1
1424273696969782,3232235876,4736,3232235879,502,1
1424273696970557,3232235876,4736,3232235879,502,1
1424273701905559,3232235875,3757,3232235877,502,3
1424273701905644,3232235875,3757,3232235877,502,3
1424273701920319,3232235875,3758,3232235878,502,3
1424273701920551,3232235875,3758,3232235878,502,3
1424273701937502,3232235875,3759,3232235879,502,3
1424273701937503,3232235875,3759,3232235879,502,3
1424273701968087,3232235875,3760,3232235877,502,2
1424273701968089,3232235875,3760,3232235877,502,2
1424273701981875,3232235875,3761,3232235878,502,2
1424273701983019,3232235875,3761,3232235878,502,2
1424273701985527,3232235875,3762,3232235878,502,1
1424273701985528,3232235875,3762,3232235878,502,1
1424273702000575,3232235875,3763,3232235879,502,2
1424273702000576,3232235875,3763,3232235879,502,2
1424273702030598,3232235875,3764,3232235877,502,1
1424273702030599,3232235875,3764,3232235877,502,1
1424273702062116,3232235875,3765,3232235879,502,1
1424273702062118,3232235875,3765,3232235879,502,1
1424273706950365,3232235876,4737,3232235879,502,3
1424273706950367,3232235876,4737,3232235879,502,3
1424273706951602,3232235876,4739,3232235878,502,3
1424273706952809,3232235876,4739,3232235878,502,3
1424273706952810,3232235876,4740,3232235879,502,2
1424273706952815,3232235876,4740,3232235879,502,2
1424273706952816,3232235876,4738,3232235877,502,3
1424273706954084,3232235876,4738,3232235877,502,3
1424273706954090,3232235876,4741,3232235878,502,2
1424273706954094,3232235876,4741,3232235878,502,2
1424273706955336,3232235876,4742,3232235879,502,1
1424273706956563,3232235876,4742,3232235879,502,1
1424273706956566,3232235876,4743,3232235877,502,2
1424273706956572,3232235876,4743,3232235877,502,2
1424273706957810,3232235876,4744,3232235878,502,1
1424273706957816,3232235876,4744,3232235878,502,1
1424273706959079,3232235876,4745,3232235877,502,1
1424273706959083,3232235876,4745,3232235877,502,1
1424273711907048,3232235875,3766,3232235877,502,3
1424273711907055,3232235875,3766,3232235877,502,3
1424273711918816,3232235875,3767,3232235878,502,3
1424273711919256,3232235875,3767,3232235878,502,3
1424273711936605,3232235875,3768,3232235879,502,3
1424273711936610,3232235875,3768,3232235879,502,3
1424273711966803,3232235875,3769,3232235877,502,2
1424273711967205,3232235875,3769,3232235877,502,2
1424273711981655,3232235875,3770,3232235878,502,2
1424273711982032,3232235875,3770,3232235878,502,2
1424273711983552,3232235875,3771,3232235878,502,1
1424273711983913,3232235875,3771,3232235878,502,1
1424273711997662,3232235875,3772,3232235879,502,2
1424273711998071,3232235875,3772,3232235879,502,2
1424273712029099,3232235875,3773,3232235877,502,1
1424273712029485,3232235875,3773,3232235877,502,1
1424273712061011,3232235875,3774,3232235879,502,1
1424273712062557,3232235875,3774,3232235879,502,1
1424273716952433,3232235876,4746,3232235878,502,3
1424273716953349,3232235876,4746,3232235878,502,3
1424273716953899,3232235876,4747,3232235877,502,3
1424273716954725,3232235876,4747,3232235877,502,3
1424273716956143,3232235876,4748,3232235878,502,2
1424273716956892,3232235876,4748,3232235878,502,2
